<CHROM>	<START>	<END>	<TSB>
Y	0	2654895	0
Y	2654896	2655739	2
Y	2655740	2709526	0
Y	2709527	2735308	1
Y	2735309	2803111	0
Y	2803112	2850546	1
Y	2850547	3447081	0
Y	3447082	3448081	1
Y	3448082	4868266	0
Y	4868267	5306690	1
Y	5306691	5312604	3
Y	5312605	5610264	1
Y	5610265	6114263	0
Y	6114264	6117053	1
Y	6117054	6733958	0
Y	6733959	6742067	2
Y	6742068	6778726	0
Y	6778727	6959723	1
Y	6959724	9175072	0
Y	9175073	9177886	1
Y	9177887	9195405	0
Y	9195406	9218478	1
Y	9218479	9236029	0
Y	9236030	9293011	1
Y	9293012	9307356	3
Y	9307357	9324921	2
Y	9324922	9327688	3
Y	9327689	9344175	2
Y	9344176	9365488	0
Y	9365489	9368284	1
Y	9368285	9374240	0
Y	9374241	9384692	2
Y	9384693	13496240	0
Y	13496241	13524716	2
Y	13524717	14813159	0
Y	14813160	14972763	1
Y	14972764	15016018	0
Y	15016019	15032389	1
Y	15032390	15360258	0
Y	15360259	15418466	2
Y	15418467	15429180	3
Y	15429181	15592552	2
Y	15592553	15815446	0
Y	15815447	15817903	1
Y	15817904	16097651	0
Y	16097652	16098392	2
Y	16098393	16168096	0
Y	16168097	16168837	1
Y	16168838	16634631	0
Y	16634632	16957529	1
Y	16957530	19989289	0
Y	19989290	19992099	2
Y	19992100	20137666	0
Y	20137667	20140476	1
Y	20140477	20708556	0
Y	20708557	20750848	1
Y	20750849	20893325	0
Y	20893326	20935620	2
Y	20935621	21737894	0
Y	21737895	21738067	2
Y	21738068	21867300	0
Y	21867301	21906824	2
Y	21906825	22737610	0
Y	22737611	22755039	1
Y	22755040	22918049	0
Y	22918050	22942917	1
Y	22942918	23544839	0
Y	23544840	23548245	2
Y	23548246	23673223	0
Y	23673224	23711211	1
Y	23711212	24026222	0
Y	24026223	24064213	2
Y	24064214	24217902	0
Y	24217903	24242153	2
Y	24242154	24314688	0
Y	24314689	24329128	2
Y	24329129	24454969	0
Y	24454970	24564027	1
Y	24564028	24636543	0
Y	24636544	24660783	1
Y	24660784	25119965	0
Y	25119966	25151611	1
Y	25151612	25275501	0
Y	25275502	25345240	2
Y	25345241	25365593	0
Y	25365594	25437502	1
Y	25437503	25847478	0
Y	25847479	25850591	1
Y	25850592	26191375	0
Y	26191376	26194165	2
Y	26194166	26753706	0
Y	26753707	26785353	1
Y	26785354	26909215	0
Y	26909216	26959625	2
Y	26959626	26980007	0
Y	26980008	27053182	1
Y	27053183	27177047	0
Y	27177048	27208694	2
Y	27208695	27768263	0
Y	27768264	27771048	1
Y	27771049	28111775	0
Y	28111776	28114888	2
