<CHROM>	<START>	<END>	<TSB>
Y	0	10144860	0
Y	10144861	10145558	2
Y	10145559	10322617	0
Y	10322618	10324588	2
Y	10324589	10412736	0
Y	10412737	10444690	1
Y	10444691	10533608	0
Y	10533609	10536041	2
Y	10536042	10553452	0
Y	10553453	10553991	1
Y	10553992	10616360	0
Y	10616361	10616902	1
Y	10616903	10750003	0
Y	10750004	10752449	2
Y	10752450	11197023	0
Y	11197024	11199373	2
Y	11199374	12273931	0
Y	12273932	12306701	1
Y	12306702	12381980	0
Y	12381981	12384007	1
Y	12384008	13042890	0
Y	13042891	13045325	1
Y	13045326	13132949	0
Y	13132950	13133491	2
Y	13133492	13161967	0
Y	13161968	13164407	1
Y	13164408	13223385	0
Y	13223386	13223927	2
Y	13223928	13252390	0
Y	13252391	13348520	1
Y	13348521	13349062	3
Y	13349063	13378803	1
Y	13378804	13465036	0
Y	13465037	13465578	2
Y	13465579	13494025	0
Y	13494026	13496465	1
Y	13496466	13941737	0
Y	13941738	13942279	1
Y	13942280	14400709	0
Y	14400710	14426797	1
Y	14426798	15882420	0
Y	15882421	15884770	2
Y	15884771	17093872	0
Y	17093873	17095891	1
Y	17095892	17400760	0
Y	17400761	17402714	1
Y	17402715	17845723	0
Y	17845724	17846265	2
Y	17846266	17874740	0
Y	17874741	17935712	1
Y	17935713	17937329	3
Y	17937330	17967602	1
Y	17967603	18061269	0
Y	18061270	18061811	2
Y	18061812	18089115	0
Y	18089116	18091555	1
Y	18091556	18654481	0
Y	18654482	18655023	1
Y	18655024	19113006	0
Y	19113007	19139092	1
Y	19139093	20967476	0
Y	20967477	20993656	2
Y	20993657	21164569	0
Y	21164570	21166904	1
Y	21166905	21241574	0
Y	21241575	21243909	1
Y	21243910	22025163	0
Y	22025164	22051352	2
Y	22051353	22835085	0
Y	22835086	22861255	2
Y	22861256	24455056	0
Y	24455057	24457398	1
Y	24457399	24795160	0
Y	24795161	24796242	2
Y	24796243	25308277	0
Y	25308278	25309359	2
Y	25309360	26750604	0
Y	26750605	26776798	2
Y	26776799	27495725	0
Y	27495726	27521919	2
Y	27521920	28245351	0
Y	28245352	28271511	2
Y	28271512	29655496	0
Y	29655497	29683369	2
Y	29683370	30706532	0
Y	30706533	30738560	2
Y	30738561	31602723	0
Y	31602724	31634755	2
Y	31634756	32588414	0
Y	32588415	32620442	2
Y	32620443	33511115	0
Y	33511116	33543163	2
Y	33543164	35105683	0
Y	35105684	35131832	2
Y	35131833	35895327	0
Y	35895328	35921525	2
Y	35921526	36709097	0
Y	36709098	36735289	2
Y	36735290	37233419	0
Y	37233420	37259602	2
Y	37259603	37957810	0
Y	37957811	37960144	1
Y	37960145	38476060	0
Y	38476061	38502237	2
Y	38502238	38574608	0
Y	38574609	38575690	2
Y	38575691	40290789	0
Y	40290790	40316902	2
Y	40316903	40380440	0
Y	40380441	40381522	2
Y	40381523	40651453	0
Y	40651454	40651995	2
Y	40651996	40775222	0
Y	40775223	40775764	2
Y	40775765	40804913	0
Y	40804914	40807355	1
Y	40807356	41406497	0
Y	41406498	41407039	1
Y	41407040	42550082	0
Y	42550083	42582249	2
Y	42582250	44232122	0
Y	44232123	44264443	2
Y	44264444	44980579	0
Y	44980580	44981262	2
Y	44981263	47450959	0
Y	47450960	47482989	1
Y	47482990	47669241	0
Y	47669242	47691097	2
Y	47691098	48311854	0
Y	48311855	48343870	1
Y	48343871	48856496	0
Y	48856497	48882616	1
Y	48882617	49571155	0
Y	49571156	49597424	1
Y	49597425	50097275	0
Y	50097276	50122130	1
Y	50122131	50608250	0
Y	50608251	50634460	1
Y	50634461	51125219	0
Y	51125220	51151483	1
Y	51151484	51852119	0
Y	51852120	51878299	1
Y	51878300	52780039	0
Y	52780040	52806253	1
Y	52806254	53415952	0
Y	53415953	53418290	2
Y	53418291	53843948	0
Y	53843949	53870149	1
Y	53870150	55213719	0
Y	55213720	55239870	1
Y	55239871	55731755	0
Y	55731756	55757907	1
Y	55757908	57187187	0
Y	57187188	57213361	1
Y	57213362	57531411	0
Y	57531412	57533743	2
Y	57533744	57705696	0
Y	57705697	57731931	1
Y	57731932	58782566	0
Y	58782567	58814596	2
Y	58814597	60241201	0
Y	60241202	60273249	1
Y	60273250	61102246	0
Y	61102247	61134258	1
Y	61134259	61646745	0
Y	61646746	61672860	1
Y	61672861	62190865	0
Y	62190866	62217136	1
Y	62217137	62462503	0
Y	62462504	62464844	2
Y	62464845	63228426	0
Y	63228427	63254643	1
Y	63254644	64473265	0
Y	64473266	64499451	1
Y	64499452	65205184	0
Y	65205185	65207526	2
Y	65207527	65377689	0
Y	65377690	65403916	1
Y	65403917	66739786	0
Y	66739787	66742122	2
Y	66742123	67045742	0
Y	67045743	67048071	2
Y	67048072	68268650	0
Y	68268651	68294897	2
Y	68294898	68537954	0
Y	68537955	68540289	1
Y	68540290	68806595	0
Y	68806596	68832727	2
Y	68832728	69321131	0
Y	69321132	69323493	1
Y	69323494	70012552	0
Y	70012553	70014898	2
Y	70014899	70271305	0
Y	70271306	70303342	2
Y	70303343	70441881	0
Y	70441882	70468157	1
Y	70468158	71469448	0
Y	71469449	71495631	1
Y	71495632	71692042	0
Y	71692043	71718225	1
Y	71718226	72220862	0
Y	72220863	72247117	2
Y	72247118	73669314	0
Y	73669315	73695485	1
Y	73695486	74470530	0
Y	74470531	74496957	1
Y	74496958	74623895	0
Y	74623896	74624977	1
Y	74624978	75195855	0
Y	75195856	75222057	1
Y	75222058	75715321	0
Y	75715322	75741548	1
Y	75741549	76378661	0
Y	76378662	76379743	1
Y	76379744	76761599	0
Y	76761600	76787728	1
Y	76787729	77692807	0
Y	77692808	77719037	1
Y	77719038	77960872	0
Y	77960873	77963203	2
Y	77963204	78212992	0
Y	78212993	78239188	1
Y	78239189	78835720	0
Y	78835721	78838055	2
Y	78838056	79148788	0
Y	79148789	79151121	2
Y	79151122	79319564	0
Y	79319565	79345706	1
Y	79345707	80133778	0
Y	80133779	80159974	1
Y	80159975	80926994	0
Y	80926995	80953257	1
Y	80953258	81458006	0
Y	81458007	81484086	1
Y	81484087	82225226	0
Y	82225227	82251418	1
Y	82251419	83030946	0
Y	83030947	83057300	1
Y	83057301	84097278	0
Y	84097279	84123493	1
Y	84123494	84562571	0
Y	84562572	84564906	2
Y	84564907	84746684	0
Y	84746685	84772901	1
Y	84772902	85528516	0
Y	85528517	85530907	2
Y	85530908	86061771	0
Y	86061772	86087951	1
Y	86087952	87116820	0
Y	87116821	87142916	1
Y	87142917	87550965	0
Y	87550966	87575690	1
Y	87575691	88053314	0
Y	88053315	88079493	1
Y	88079494	89052805	0
Y	89052806	89079014	1
Y	89079015	89713423	0
Y	89713424	89745531	2
Y	89745532	90401247	0
Y	90401248	90433262	1
Y	90433263	90754512	0
Y	90754513	90754820	2
Y	90754821	90784737	0
Y	90784738	90816463	1
Y	90816464	90838868	0
Y	90838869	90839176	2
