<CHROM>	<START>	<END>	<TSB>
3	0	100162380	0
3	100162381	100206980	1
3	100206981	100468056	0
3	100468057	100489323	2
3	100489324	100562207	0
3	100562208	100685502	2
3	100685503	100825458	0
3	100825459	100896921	1
3	100896922	100922201	0
3	100922202	100936919	1
3	100936920	100938859	0
3	100938860	100969662	2
3	100969663	100993528	0
3	100993529	101029555	2
3	101029556	101040231	0
3	101040232	101110277	2
3	101110278	101275898	0
3	101275899	101287938	2
3	101287939	101377082	0
3	101377083	101463058	1
3	101463059	101576218	0
3	101576219	101604683	2
3	101604684	101813075	0
3	101813076	101848958	2
3	101848959	101855775	0
3	101855776	101924448	2
3	101924449	102010075	0
3	102010076	102015491	1
3	102015492	102086414	0
3	102086415	102146513	1
3	102146514	102153582	0
3	102153583	102204692	2
3	102204693	102469918	0
3	102469919	102521012	1
3	102521013	102734528	0
3	102734529	102777397	1
3	102777398	102782673	3
3	102782674	102801512	1
3	102801513	102818498	0
3	102818499	102936099	2
3	102936100	102939657	0
3	102939658	102964132	2
3	102964133	102995707	0
3	102995708	103008458	1
3	103008459	103020425	0
3	103020426	103058185	1
3	103058186	103058284	0
3	103058285	103067913	1
3	103067914	103074013	0
3	103074014	103099719	1
3	103099720	103102603	0
3	103102604	103169768	1
3	103169769	103171654	0
3	103171655	103179151	1
3	103179152	103279292	0
3	103279293	103358774	1
3	103358775	103575230	0
3	103575231	103643953	1
3	103643954	103645568	3
3	103645569	103646067	2
3	103646068	103731664	0
3	103731665	103738000	2
3	103738001	103739365	0
3	103739366	103739814	1
3	103739815	103746375	3
3	103746376	103791562	2
3	103791563	103800604	0
3	103800605	103809443	2
3	103809444	103809519	0
3	103809520	103822024	1
3	103822025	103832600	0
3	103832601	103854617	1
3	103854618	103860276	0
3	103860277	103912246	1
3	103912247	103914119	0
3	103914120	103966635	1
3	103966636	103968109	0
3	103968110	104007489	1
3	104007490	104013258	0
3	104013259	104220373	2
3	104220374	104396417	0
3	104396418	104511855	2
3	104511856	104638667	0
3	104638668	104658461	1
3	104658462	104767405	0
3	104767406	104777546	2
3	104777547	104781055	0
3	104781056	104786017	1
3	104786018	104788374	0
3	104788375	104794458	1
3	104794459	104794835	0
3	104794836	104818562	2
3	104818563	104822778	0
3	104822779	104864502	2
3	104864503	104864504	3
3	104864505	104930063	1
3	104930064	104945271	0
3	104945272	104961920	2
3	104961921	105001914	0
3	105001915	105053145	2
3	105053146	105066843	0
3	105066844	105078805	1
3	105078806	105452329	0
3	105452330	105674001	1
3	105674002	105678269	0
3	105678270	105687573	2
3	105687574	105704598	0
3	105704599	105720841	1
3	105720842	105727266	0
3	105727267	105801335	2
3	105801336	105870857	0
3	105870858	105924041	1
3	105924042	105924357	0
3	105924358	105932663	2
3	105932664	105942697	0
3	105942698	105959368	2
3	105959369	105960098	3
3	105960099	105969759	1
3	105969760	105973710	0
3	105973711	105987422	1
3	105987423	105996956	0
3	105996957	106014645	2
3	106014646	106016918	0
3	106016919	106032813	2
3	106032814	106113228	0
3	106113229	106132119	1
3	106132120	106147553	0
3	106147554	106167563	2
3	106167564	106201489	0
3	106201490	106219506	2
3	106219507	106387383	0
3	106387384	106406181	2
3	106406182	106482430	0
3	106482431	106502259	1
3	106502260	106503029	3
3	106503030	106547797	2
3	106547798	106547801	3
3	106547802	106575889	1
3	106575890	106684986	0
3	106684987	106736576	1
3	106736577	106759920	0
3	106759921	106790148	2
3	106790149	106820484	0
3	106820485	106826286	2
3	106826287	107036168	0
3	107036169	107038069	1
3	107038070	107101145	0
3	107101146	107115004	1
3	107115005	107183055	0
3	107183056	107195720	1
3	107195721	107211292	0
3	107211293	107221731	2
3	107221732	107230613	0
3	107230614	107232796	1
3	107232797	107234722	3
3	107234723	107239706	2
3	107239707	107278857	0
3	107278858	107284081	1
3	107284082	107291229	0
3	107291230	107312114	1
3	107312115	107325420	0
3	107325421	107333672	2
3	107333673	107438302	0
3	107438303	107459551	2
3	107459552	107467542	0
3	107467543	107518017	2
3	107518018	107553686	0
3	107553687	107555072	2
3	107555073	107595030	0
3	107595031	107605775	1
3	107605776	107612531	0
3	107612532	107631321	2
3	107631322	107631693	3
3	107631694	107633089	1
3	107633090	107663119	0
3	107663120	107696559	2
3	107696560	107741047	0
3	107741048	107760468	2
3	107760469	107877228	0
3	107877229	107892899	1
3	107892900	107895820	0
3	107895821	107898685	1
3	107898686	107926333	0
3	107926334	107931816	2
3	107931817	107938846	0
3	107938847	107943748	2
3	107943749	107963695	0
3	107963696	107969282	2
3	107969283	107981701	0
3	107981702	107986452	2
3	107986453	108012254	0
3	108012255	108017972	2
3	108017973	108040407	0
3	108040408	108044893	2
3	108044894	108074061	0
3	108074062	108086650	2
3	108086651	108092788	0
3	108092789	108101431	1
3	108101432	108107279	0
3	108107280	108146145	2
3	108146146	108148320	0
3	108148321	108154881	2
3	108154882	108186334	0
3	108186335	108192285	1
3	108192286	108195686	0
3	108195687	108200833	2
3	108200834	108202221	0
3	108202222	108210933	2
3	108210934	108211471	0
3	108211472	108226647	2
3	108226648	108256925	0
3	108256926	108279973	1
3	108279974	108284081	0
3	108284082	108361510	1
3	108361511	108364910	0
3	108364911	108380056	1
3	108380057	108383838	0
3	108383839	108388230	1
3	108388231	108390850	0
3	108390851	108415551	2
3	108415552	108424864	0
3	108424865	108445208	2
3	108445209	108455693	0
3	108455694	108536535	2
3	108536536	108537540	0
3	108537541	108544722	1
3	108544723	108556424	0
3	108556425	108562465	2
3	108562466	108571698	0
3	108571699	108583221	1
3	108583222	108591278	0
3	108591279	108645718	1
3	108645719	108653912	0
3	108653913	108678637	1
3	108678638	108678839	3
3	108678840	108722308	2
3	108722309	108739657	0
3	108739658	108782308	1
3	108782309	108793175	0
3	108793176	108840525	2
3	108840526	108853677	0
3	108853678	108890007	2
3	108890008	108902806	0
3	108902807	108911726	2
3	108911727	108940052	0
3	108940053	108940058	2
3	108940059	108940444	3
3	108940445	108960773	1
3	108960774	108970996	0
3	108970997	109027606	2
3	109027607	109080468	0
3	109080469	109116686	1
3	109116687	109123148	0
3	109123149	109168456	1
3	109168457	109340652	0
3	109340653	109685697	1
3	109685698	109780039	0
3	109780040	110144010	2
3	110144011	110246111	0
3	110246112	110250997	2
3	110250998	113247177	0
3	113247178	113258836	2
3	113258837	113279842	0
3	113279843	113291448	2
3	113291449	113312454	0
3	113312455	113324051	2
3	113324052	113345054	0
3	113345055	113356657	2
3	113356658	113529402	0
3	113529403	113532427	2
3	113532428	113555709	0
3	113555710	113630148	2
3	113630149	114030539	0
3	114030540	114220717	1
3	114220718	114904077	0
3	114904078	115125721	1
3	115125722	115710432	0
3	115710433	115715071	2
3	115715072	115887836	0
3	115887837	115929331	1
3	115929332	115938972	0
3	115938973	116007405	2
3	116007406	116007461	0
3	116007462	116029016	1
3	116029017	116109948	0
3	116109949	116129687	2
3	116129688	116249653	0
3	116249654	116253502	2
3	116253503	116272552	0
3	116272553	116424031	2
3	116424032	116488962	0
3	116488963	116508207	2
3	116508208	116513069	0
3	116513070	116549980	1
3	116549981	116562977	0
3	116562978	116581092	1
3	116581093	116583133	3
3	116583134	116594981	2
3	116594982	116614586	3
3	116614587	116629263	1
3	116629264	116631163	0
3	116631164	116712830	2
3	116712831	116739998	0
3	116739999	116808165	2
3	116808166	116859463	0
3	116859464	116908176	1
3	116908177	116918257	0
3	116918258	116968266	2
3	116968267	116968986	3
3	116968987	116984405	1
3	116984406	117319138	0
3	117319139	117360875	2
3	117360876	117574835	0
3	117574836	117689506	1
3	117689507	117781646	0
3	117781647	117868935	2
3	117868936	118562128	0
3	118562129	119432923	1
3	119432924	119718741	0
3	119718742	119783803	2
3	119783804	121155397	0
3	121155398	121171694	2
3	121171695	121201760	0
3	121201761	121283097	2
3	121283098	121291772	0
3	121291773	121363093	1
3	121363094	121426496	0
3	121426497	121458206	1
3	121458207	121459527	0
3	121459528	121532403	2
3	121532404	121670761	0
3	121670762	121682981	1
3	121682982	121723536	0
3	121723537	121735047	1
3	121735048	121758773	0
3	121758774	121815301	2
3	121815302	121952540	0
3	121952541	122016752	1
3	122016753	122044442	0
3	122044443	122180060	1
3	122180061	122245556	0
3	122245557	122270731	1
3	122270732	122274387	0
3	122274388	122285270	1
3	122285271	122419777	0
3	122419778	122530190	1
3	122530191	122538718	0
3	122538719	122619714	2
3	122619715	122728946	0
3	122728947	122859373	1
3	122859374	122895071	0
3	122895072	122899505	1
3	122899506	122913069	0
3	122913070	122919359	2
3	122919360	122924202	0
3	122924203	122926183	1
3	122926184	122931492	0
3	122931493	122984509	2
3	122984510	123006205	0
3	123006206	123035014	2
3	123035015	123076518	0
3	123076519	123236146	2
3	123236147	123267454	0
3	123267455	123365640	1
3	123365641	123368296	0
3	123368297	123386107	2
3	123386108	123446912	0
3	123446913	123506596	1
3	123506597	123526167	0
3	123526168	123690852	2
3	123690853	124320854	0
3	124320855	124324742	1
3	124324743	124400988	0
3	124400989	124426039	2
3	124426040	124556351	0
3	124556352	124581091	2
3	124581092	125404075	0
3	125404076	125728898	1
3	125728899	125865270	0
3	125865271	125938618	2
3	125938619	126363683	0
3	126363684	126440374	1
3	126440375	126596950	0
3	126596951	126846325	1
3	126846326	126921611	0
3	126921612	127499349	2
3	127499350	127536713	0
3	127536714	127553348	2
3	127553349	127553488	0
3	127553489	127618022	1
3	127618023	127633134	0
3	127633135	127635630	1
3	127635631	127670309	0
3	127670310	127780526	2
3	127780527	127789804	0
3	127789805	127798388	1
3	127798389	127807006	0
3	127807007	127837522	2
3	127837523	127869057	0
3	127869058	127896323	2
3	127896324	129199877	0
3	129199878	129219590	1
3	129219591	129269174	0
3	129269175	129332719	2
3	129332720	129532354	0
3	129532355	129638494	1
3	129638495	129677564	0
3	129677565	129755315	2
3	129755316	129787880	0
3	129787881	129804029	2
3	129804030	129804407	0
3	129804408	129822586	2
3	129822587	129824911	0
3	129824912	129831395	2
3	129831396	129835883	0
3	129835884	129875331	1
3	129875332	129878605	0
3	129878606	129895824	1
3	129895825	129901424	0
3	129901425	129914102	1
3	129914103	129914959	0
3	129914960	129970205	2
3	129970206	129982758	0
3	129982759	130060906	2
3	130060907	130180890	0
3	130180891	130599876	1
3	130599877	130617447	0
3	130617448	130637520	1
3	130637521	130695911	0
3	130695912	130709443	2
3	130709444	130726830	0
3	130726831	130730397	2
3	130730398	131110470	0
3	131110471	131224355	1
3	131224356	131233418	0
3	131233419	131272100	2
3	131272101	131288440	0
3	131288441	131303223	2
3	131303224	131318984	0
3	131318985	131490478	2
3	131490479	131564767	0
3	131564768	131643670	1
3	131643671	132085291	0
3	132085292	132180303	1
3	132180304	132629819	0
3	132629820	132645350	1
3	132645351	132660498	0
3	132660499	132684143	2
3	132684144	132684369	3
3	132684370	132841687	1
3	132841688	132881744	0
3	132881745	132950290	2
3	132950291	132981751	0
3	132981752	133091839	2
3	133091840	133092032	3
3	133092033	133110987	1
3	133110988	133112277	0
3	133112278	133234948	2
3	133234949	133310109	0
3	133310110	133378234	1
3	133378235	133463678	0
3	133463679	133545138	2
3	133545139	134236490	0
3	134236491	134262160	1
3	134262161	134829006	0
3	134829007	134934578	1
3	134934579	135212536	0
3	135212537	135273610	1
3	135273611	135281220	0
3	135281221	135304425	1
3	135304426	135307741	0
3	135307742	135345386	1
3	135345387	135348028	0
3	135348029	135397826	1
3	135397827	135406411	0
3	135406412	135423924	2
3	135423925	135438148	0
3	135438149	135468197	1
3	135468198	135485610	0
3	135485611	135571403	1
3	135571404	135584654	0
3	135584655	135691545	2
3	135691546	135825278	0
3	135825279	135888571	1
3	135888572	136053362	0
3	136053363	136326065	2
3	136326066	136670123	0
3	136670124	136937726	1
3	136937727	137341066	0
3	137341067	137432184	1
3	137432185	137550044	0
3	137550045	137552621	2
3	137552622	137623671	0
3	137623672	137628332	1
3	137628333	137671523	0
3	137671524	137672539	1
3	137672540	137864486	0
3	137864487	137866921	1
3	137866922	137867674	0
3	137867675	137916556	1
3	137916557	137918505	0
3	137918506	137928764	1
3	137928765	137931006	0
3	137931007	137981544	2
3	137981545	138048760	0
3	138048761	138065051	2
3	138065052	138067387	3
3	138067388	138081505	1
3	138081506	138089853	0
3	138089854	138143387	2
3	138143388	138143447	0
3	138143448	138159820	1
3	138159821	138164077	0
3	138164078	138186712	2
3	138186713	138217759	0
3	138217760	138233381	1
3	138233382	138277493	0
3	138277494	138290697	1
3	138290698	138313285	0
3	138313286	138331133	1
3	138331134	138341774	0
3	138341775	138358860	1
3	138358861	138415486	0
3	138415487	138430891	1
3	138430892	138443092	0
3	138443093	138455498	1
3	138455499	138458955	0
3	138458956	138489514	2
3	138489515	138526178	0
3	138526179	138559695	1
3	138559696	138742194	0
3	138742195	138907904	1
3	138907905	138925901	0
3	138925902	139075200	2
3	139075201	139205693	0
3	139205694	139710298	1
3	139710299	141210003	0
3	141210004	141212354	2
3	141212355	141465215	0
3	141465216	141834923	1
3	141834924	141837135	0
3	141837136	142169424	2
3	142169425	142239589	0
3	142239590	142395695	2
3	142395696	142496899	0
3	142496900	142522343	1
3	142522344	142530341	0
3	142530342	142550148	1
3	142550149	142560025	0
3	142560026	142573208	1
3	142573209	142594846	0
3	142594847	142619178	1
3	142619179	142620601	0
3	142620602	142638007	1
3	142638008	142701050	0
3	142701051	142746869	1
3	142746870	142765044	0
3	142765045	142783605	1
3	142783606	142790901	0
3	142790902	142882003	2
3	142882004	144188529	0
3	144188530	144205219	2
3	144205220	144429705	0
3	144429706	144570180	2
3	144570181	144570425	0
3	144570426	144597679	1
3	144597680	144683677	0
3	144683678	144720334	2
3	144720335	144729915	0
3	144729916	144760840	2
3	144760841	144796558	0
3	144796559	144819493	2
3	144819494	144822622	0
3	144822623	144849356	2
3	144849357	144910920	0
3	144910921	144932528	2
3	144932529	144952479	0
3	144952480	144975044	2
3	144975045	145003816	0
3	145003817	145032775	2
3	145032776	145070262	0
3	145070263	145099105	2
3	145099106	145118588	0
3	145118589	145153914	1
3	145153915	145292471	0
3	145292472	145552010	1
3	145552011	145576204	0
3	145576205	145604794	1
3	145604795	145646975	0
3	145646976	145649980	2
3	145649981	145758674	0
3	145758675	145894276	1
3	145894277	145924261	0
3	145924262	145934355	1
3	145934356	145938013	0
3	145938014	145944828	1
3	145944829	145987869	0
3	145987870	146021719	1
3	146021720	146040525	0
3	146040526	146108129	2
3	146108130	146117449	0
3	146117450	146141805	1
3	146141806	146149832	0
3	146149833	146195512	1
3	146195513	146220962	0
3	146220963	146286185	1
3	146286186	146404641	0
3	146404642	146440143	1
3	146440144	146450469	0
3	146450470	146457195	1
3	146457196	146465848	3
3	146465849	146499752	2
3	146499753	146499806	0
3	146499807	146505571	1
3	146505572	146505955	0
3	146505956	146521428	2
3	146521429	146570425	0
3	146570426	146580984	1
3	146580985	146596611	3
3	146596612	146632304	1
3	146632305	146645192	0
3	146645193	146685591	2
3	146685592	146729573	0
3	146729574	146812959	2
3	146812960	146852366	0
3	146852367	146984008	1
3	146984009	148815582	0
3	148815583	148990554	2
3	148990555	151437886	0
3	151437887	151545085	1
3	151545086	151730921	0
3	151730922	151749959	2
3	151749960	151758736	0
3	151758737	151762891	2
3	151762892	151796501	0
3	151796502	151837629	2
3	151837630	152093838	0
3	152093839	152166229	2
3	152166230	152183954	0
3	152183955	152210082	2
3	152210083	152210421	0
3	152210422	152236825	1
3	152236826	152236981	0
3	152236982	152266317	2
3	152266318	152273848	0
3	152273849	152340406	2
3	152340407	152346477	0
3	152346478	152393616	1
3	152393617	152395472	0
3	152395473	152462814	1
3	152462815	152462825	3
3	152462826	152668359	2
3	152668360	152714099	0
3	152714100	152789025	1
3	152789026	152817080	0
3	152817081	152982245	2
3	152982246	153198265	0
3	153198266	153725173	2
3	153725174	153844208	0
3	153844209	153855081	1
3	153855082	153857148	0
3	153857149	153906137	2
3	153906138	153907288	0
3	153907289	153913008	2
3	153913009	153922356	0
3	153922357	153944631	2
3	153944632	153973435	0
3	153973436	154271721	1
3	154271722	154306293	0
3	154306294	154330658	2
3	154330659	154576430	0
3	154576431	154596710	2
3	154596711	154597094	3
3	154597095	154597103	2
3	154597104	154623181	1
3	154623182	154663858	0
3	154663859	154767789	1
3	154767790	154786298	0
3	154786299	155055406	2
3	155055407	155084917	0
3	155084918	155093402	2
3	155093403	155093433	0
3	155093434	155194279	1
3	155194280	156561793	0
3	156561794	157316444	1
3	157316445	157534159	0
3	157534160	157548409	1
3	157548410	157566891	0
3	157566892	157645887	1
3	157645888	157894247	0
3	157894248	157925076	2
3	157925077	157947413	0
3	157947414	158008033	1
3	158008034	158010472	0
3	158010473	158036638	2
3	158036639	158036661	0
3	158036662	158068486	1
3	158068487	158082890	0
3	158082891	158562220	2
3	158562221	159495432	0
3	159495433	159529954	1
3	159529955	159599174	0
3	159599175	159625320	1
3	159625321	159839671	0
3	159839672	159938663	1
