<CHROM>	<START>	<END>	<TSB>
X	0	10038906	0
X	10038907	10117604	2
X	10117605	100402220	0
X	100402221	100429012	2
X	100429013	100429884	3
X	100429885	100442716	2
X	100442717	100494290	0
X	100494291	100516124	1
X	100516125	100524840	0
X	100524841	100546143	1
X	100546144	100572250	0
X	100572251	100578204	1
X	100578205	100590153	0
X	100590154	100594868	2
X	100594869	100605496	0
X	100605497	100618492	1
X	100618493	100622885	0
X	100622886	100625736	2
X	100625737	100626567	3
X	100626568	100727213	1
X	100727214	100729941	0
X	100729942	100738893	1
X	100738894	100767721	0
X	100767722	100818407	1
X	100818408	100838647	0
X	100838648	101059666	2
X	101059667	101079220	0
X	101079221	101086019	2
X	101086020	101097785	0
X	101097786	101222562	2
X	101222563	101254527	0
X	101254528	101260872	1
X	101260873	101261375	0
X	101261376	101269022	2
X	101269023	101274029	0
X	101274030	101297464	1
X	101297465	101299167	0
X	101299168	101325962	1
X	101325963	101376377	0
X	101376378	101385628	1
X	101385629	101404383	0
X	101404384	101420848	2
X	101420849	101429317	0
X	101429318	101448590	1
X	101448591	101449087	0
X	101449088	101453540	1
X	101453541	101532733	0
X	101532734	101601788	1
X	101601789	101640059	0
X	101640060	101684350	1
X	101684351	101731534	0
X	101731535	101734268	2
X	101734269	101790347	0
X	101790348	101794422	2
X	101794423	101794655	0
X	101794656	101798641	1
X	101798642	101849384	0
X	101849385	102066543	1
X	102066544	102071195	3
X	102071196	102092054	1
X	102092055	102119446	0
X	102119447	102127668	1
X	102127669	102141715	0
X	102141716	102157090	2
X	102157091	102184940	0
X	102184941	102189393	2
X	102189394	102247380	0
X	102247381	102252180	2
X	102252181	102284638	0
X	102284639	102505358	2
X	102505359	102513974	0
X	102513975	102644245	2
X	102644246	102686291	0
X	102686292	102686971	2
X	102686972	102706889	0
X	102706890	102707634	2
X	102707635	102707864	0
X	102707865	102715208	1
X	102715209	102802962	0
X	102802963	102809941	1
X	102809942	102847638	0
X	102847639	102854615	2
X	102854616	102859185	0
X	102859186	102866352	2
X	102866353	102903215	0
X	102903216	102908686	2
X	102908687	102908904	0
X	102908905	102909650	1
X	102909651	102928371	0
X	102928372	102929093	1
